legajo;nombreUsuario;contrasena;fechaAlta;fechaUltimoLogin;fechaCambioClave
2034;zachary.mills;+OEDT#4j97;21/05/2021;10/05/2024;21/05/2021
1500;gloria.washington;&YtT+7OtkT;31/03/2024;24/02/2025;31/03/2024
5343;timothy.harrison;qO@m7!Oz&P;06/09/2023;18/12/2024;06/09/2023
7976;michaela.banks;)sC2(Ee@AK;04/09/2022;16/01/2025;04/09/2022
2191;sean.parker;u6BLDOBc!U;11/07/2021;02/11/2024;11/07/2021
2316;craig.haynes;1xg0I(+u)X;04/04/2021;14/01/2025;04/04/2021
2448;taylor.reynolds;^0YFuIq)+r;27/05/2021;20/11/2024;27/05/2021
2376;brandon.morrison;h9HH$hs0*3;08/12/2021;16/09/2024;08/12/2021
3018;james.marsh;uw1E#bxu^b;29/09/2021;01/05/2025;29/09/2021
2945;monica.mitchell;ClaveNueva;23/11/2022;01/05/2025;01/05/2025
0001;usr.test;ClaveNueva;30/04/2025;;
